,sac_number,prop_add,building_type,building_name,village,num_flat,region,num_shops,wing_name,prabhag_no,ward_name_field,updated_by,update_time,device_ip,address,validity
0,KW1513987590000,,,,,,,,,061,K/W,,,,,False
1,KW1510660470000,,,,,,,,,061,K/W,,,,,False
2,KW1511620200000,,,,,,,,,061,K/W,,,,,False
3,KW1514014400000,,,,,,,,,061,K/W,,,,,False
4,KW1514014660000,,,,,,,,,061,K/W,,,,,False
5,KW1513979140000,",LTD BLDG NO 16,OSHIWARA MHADA COMPLEX, LINK RD ANDHERI [WEST]MUMBAI 53",Mixed Legend,SECY OSHIWARA HIMASAI CHS ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5611 (H-51) PLOT NO 51 OSHIWARA VILLAGE HOUSE BLDG NO 16,False
6,KW1513986940000,",101,102 GANESH NAGAR NEW LINK RD,VILLAGE OSHIWARA,JOGESHWARI (W) MUMBAI 400 102",Mixed Legend,SECY SHREE SAILILA  CHS LTD ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW 5562 (35/D) CTS NO 55 ,56 ,57 ,94, 96 PT 101 102 VILLAG E OSHIWARA GANESH NAGAR NEW LINK RD HOUSE WITH SHOPS SHREE SAILILA (SRA) CHS LTD",False
7,KW1514011990000,",CTS NO 26(PT),34(PT),38(PT),VILLAGE OSHIWARA NEW LINK,RD,JOGESHWARI(W) MUMBAI 102",Mixed Legend,M/S GANESH NIWAS CHS(PROP) ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5562(35/F) CTS NO 26(PT),34(PT),38(PT) VILLAGE OSHIWARA JOGESHWARI(W) PLOT OF LAND",False
8,KW1514012020000,",ROSHAN NAGAR ( S.R.A.), CHS LTD, NEW LINK ROAD, BEHRAM BAUG, JOGESHWARI (W), MUMBAI, 400102",Mixed Legend,M/s. ROSHAN NAGAR (S.R.A.) C.H.S. LTD. NARAYAN PEDNEKAR ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5562(35/G) CTS NO 28(PT)34(PT) 36 TO 43(PT) VILLAGE OSHIWARA HOUSE WITH SHOPS- ROSHAN NAGAR SRA CHS .,False
9,KW1604620610000,",D LAXMI PALACE 76 MATHURDAS,RD KANDIVALI [W] MUMBAI 67,",Mixed Legend,M/S BYRAMJI JIJIBHOY PVT LT ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5642 [14F] CTS NO 567/1 TO 44 574 574/1TO86 575 575 1TO 52 576 TO 578 VILLAGE OSHIWARA HOUSE REHAB BLDG NO 4,False
10,KW1513995690000,"
L PREMISES CHS LTD,B-1 CTS NO 618 NEW LINK RD,OSHIWARAANDHERI [W]MUMBAI 53",C,SECY MORYA ESTATE COMMERCIA  . ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5611(B-1)/U-219, PL B-1 CTS 618 NEW LINK RD OSHIWARA HOUSE AS OFFICES WITH SHOWROOM & BANKS",False
11,KW1513996400000,"
MOHAMMED AZIZUR REHMAN FAIZ,PLOT NO.B-21,,VEERA INDUSTRIAL ESTATE,NEW LINK ROAD,OSHIVARA ,ANDHERI(W),MUMBAI-400053",C,MOHAMMED WASIM UREHMAN FAIZ ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5611(B-21),CTS-586, PLOT NO B-21 VILLAGE OSHIWARA RCC BLDG GLOBAL CHAMBERS",False
12,KW1513997210000,",D MOHAMED WASIM UREHMANFAIZ,MOHMMED AZUI RAHEMAN FAIZ,GLOBAL CHAMBERS PLOT NO 21VEERA IND ESTATE NEW LINK RD ANDHERI [W] MUMBAI 58",C,M/S BYRAMJI JIJIBHOY PVT LT ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 [B-21A] PLOT NO B/21 CTS 586 VILLAGE OSHIWARA ELECTRIC SUB STATION,False
13,KW1513997800000,"
CENTRE 127 MANMALA TANK RD,TAIKALWADI MAHIM [W] MUMBAI,16",C,BPL COMMUNICATIONS LTD BPL ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 [H49/A] PLOT NO 49 OSHIWARA VILLAGE SITE FOR M/W ANTENNA,False
14,KW1513998520000," ,
INTERFACE BLDG NO 7,6TH FL,OFF LINK ROAD,MALAD (W),MUMBAI 400064",C,BHARTI AIRTEL LTD,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5611(H-47/DME) PLOT NO 47 OSHIWARA VILLAGE SITE :- SANSKAR CHS LTD MHADA BLDG NO 15 SITE FOR DIGITAL MINI EXCHANGE (DME) BHARTI AIRTEL A/W KW-5611(H-47),False
15,KW1513998610000," ,
BLDG NO 7,6TH FLOOR,OFF,LINK ROAD MALAD(W) MUMBAI,400064",C,BHARTI AIRTEL LTDINTERFACE,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5611(B-1/DME)PL B-1 NEW LINK ROAD OSHIWARA VILLAGE. SITE:-MOURYA ESTATE COMMERCIAL PREMISES CHS LTD ,SITE FOR DIGITAL MINI EXCHANGE(DME) BHARTI AIRTEL A/W KW- 5611(B-1)",False
16,KW1513999090000,",kANARA BUISNESS CENTRE  OFF GHATKOPAR ANDHERI LINK ROAD,  GHATKOPAR LAXMI NAGAR Mumbai 400075 Maharashtra",C,VAISHALI CREATION -VAISHALI CREATION ,VILLAGE OSHIWARA,,,,,061,K/W,,,,TERRACE OF AKASH GANGA  AKASH GANGA  null NEW LINK ROAD YASHODEEP CHS Ltd. OSHIWARA  JOGESHWARI  (WEST ) VILLAGE OSHIWARA Mumbai 400102,False
17,KW1513995770000,,,,,,,,,061,K/W,,,,,False
18,KW1513998870000,,,,,,,,,061,K/W,,,,,False
19,KW1513998950000,,,,,,,,,061,K/W,,,,,False
20,KW1511260660000,,,,,,,,,061,K/W,,,,,False
21,KW1511260740000,,,,,,,,,061,K/W,,,,,False
22,KW1511620110000,,,,,,,,,061,K/W,,,,,False
23,KW1511840230000,,,,,,,,,061,K/W,,,,,False
24,KW1511840820000,,,,,,,,,061,K/W,,,,,False
25,KW1511772720000,",A TRUST MASJID AND MADRASSA,ANAND NAGAR OSHIWARA NEW LI,NK RD JOGESHEWARI [W] MUMBAI 400 102.",R,M/S ANJUMANE GULSHANE MADIN ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5349 [2A/B] ANAND NAGAR NEW LINK RD JOG [W] MASJID AND MADRASSA ANJUMAN GULSHANE MADINA TRUST,False
26,KW1513967050000,"
EDUCATION SOCITY,DYANSAGAR VIDHALAYA,GANESH NAGARBEHRAM BAUG JOG WESTMUMBAI 400102",R,GEN SECY DYANSAGAR ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5562 (35A) NEW LINK ROAD A C HOUSE SCHOOL AS DNYAN SAGAR VIDHYALAYA,False
27,KW1513999500000,,,,,,,,,061,K/W,,,,,False
28,KW1513977010000,",BLDG NO 5 OSHIWARA MHADA,JOG WEST MUMBAI 400102,",r,OSHIWARA PANCHAVATI CHS LTD ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5566 (5) CTS 2PT 3PT 5PT 6PT AND 155PT  OSHIVARA VI LLAGE LIG II  HOUSE PANCHAVATI,False
29,KW1513977100000,",CHS LTD, BLDG NO. 6, NEW LINK ROAD, ,OSHIWARA JOGESHWARI  WEST MUMBAI 400 102.,",r,MHADA SEC SAPTA SHRINGI ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5566 (6) CTS 2PT 3PT 5PT 6PT AND 155PT  OSHIVARA VI LLAGE LIG II  HOUSE SAPTA SRINGHEE,False
30,KW1513978840000,",BLDH NO 13,PLOT NO H-49,MHADA RESIDENTIAL COMPLEXOSHIWARA ANDHERI WESTMUMBAI 400058",R,UTSAV CHS ,VILLAGE OSHIWARA,,,,,061,K/W,,,,,False
31,KW1513978920000,",BLDG NO 12 OPP.OSHIVARA,POLICE STATION,MHADA RESIDENTIAL COMPLEXANDHERI WESTMUMBAI 400058",R,LOTOUS CHS. ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 (H-49) PLOT NO 50 OSHIWARA VILLAGE HOUSE BLDG NO 12,False
32,KW1513979060000,",BLDG NO 11 PLOT NO H-50A,OSHIWARA MHADA RESIDENTIAL,COMPLEX ANDHERI [W]  MUMBAI58",R,OSHIWARA STAR SHIP CHS LTD ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 (H-50A) PLOT NO 50A OSHIWARA VILLAGE HOUSE BLDG NO 11,False
33,KW1513980400000,",MHADA BLDG.-10,OSHIVARA,LINK RD.ANDHERI (W),MUM-53.,",R,SECY.DAFFODILS CHS.LTD. ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 (H-63) PLOT NO 63 VILLAGE OSHIWARA HOUSE BLDG NO H-63,False
34,KW1514011050000,,,,,,,,,061,K/W,,,,,False
35,KW1514013850000,,,,,,,,,061,K/W,,,,,False
36,KW1514013930000,,,,,,,,,061,K/W,,,,,False
37,KW1514014070000,,,,,,,,,061,K/W,,,,,False
38,KW1514014150000,,,,,,,,,061,K/W,,,,,False
39,KW1514107750000,",GARDENS CO O HSG SOC LTD.,ADARSH NAGAR NEW LINK RD,OPP.OSHIWARA POLICE STATIONOSHIWARA ANDHERI WESTMUMBAI 400053",R,HON SECY OSHIWARA TARAPORE ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611(P/1) S NO 41 OSHIWARA TARAPORE  GARDEN HOUSE E /1 BLDG NO 1,False
40,KW1514113990000,",GARDENS CO OP HSG SOC LTD.,ADARSH NAGAR NEW LINK RD,OPP.OSHIWARA POLICE STATIONOSHIWARA ANDHERI WESTMUMBAI 400053",R,HN SECY OSHIWARA TARAPORE ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 (P/2) BLDG NO F/2 OSHIVRA  TARAPORE GARDEN  HO USE F BLDG NO 2,False
41,KW1514114020000,",GARDENS CO OP HSG SOC LTD.,ADARSH NAGAR NEW LINK RD,OPP.OSHIWARA POLICE STATIONOSHIWARA ANDHER WESTMUMBAI 400053",R,HONSECY OSHIWARA TARAPORE ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 (P/3) BLDG NO G/3 OSHIVARA  TARAPORE GARDEN HO USE G BLDG 3,False
42,KW1514360060000,,,,,,,,,061,K/W,,,,,False
43,KW1510660390000,",AN SOCY NOBLE CHAMBERS B,PARSI BAZAR STREET FORT,MUMBAI 1",Mixed Legend,TRUSTEES OF ZORASTRIAN RADI ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5328 [2A] CTS NO 321 1 PT VILLAGE OSHIWARA BEHRAM B AUG JOG [W] HOUSE WITH SHOPS SRA BUILDING,False
44,KW1511773370000,",BLDG NO A & B WING, GR FLOOR, SOCIETY OFFICE,OM HEERA PANNA, NEW LINK ROAD, VILLAGE OSHIWARA,JOGESHWARI (WEST) MUMBAI 400102",Mixed Legend,M/S  ANAND SEVA SAMITI SRA CHS (PROP) ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW 5349(2A/3/1) CTS NO 155(PT) VILLAGE OSHIWARA, JOGESHWARI(W) ASSD WITH KW 5349(2A/3) HOUSE WITH SHOPS A & B WING M/S ANAND   SEVA SAMITI SRA CHS",False
45,KW1511840310000,",LINK RD,VILLAGE OSHIWARA,NEAR TECH.WEB JOGESHWARI(W),MUMBAI 400102",Mixed Legend,M/S DIAMOND CHS LTD NEW ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5358, CTS-198, SR N.26/3 NEW LINK RD. OSHIWARA VILLAGE, HOUSE WITH SHOPS, DIAMOND C.H.S.A & B WING",False
46,KW1511840400000," ,,302, LOTUS HOUSE ,6, NEW MARINE LINES,,MUMBAI 400020",Mixed Legend,M/S V  TECHWEB (INDIA) PVT LTD,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5359, CTS.-131,133,233,OSHIWARA VILLAGE,NEW LINK RD. R C C BLDG TECHWEB CENTER  AS 'I.T. PARK'",False
47,KW1513978090000,",DEPTT.STATE BANK OF INDIA,,HEAD OFFICE,12TH FLOOR,,MADAM CAMA RD,MUMBAI-400 021.",Mixed Legend,DY.GENERAL MANAGERPREMISES ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5566[19] PL.NO.19, OSHIVARA VILLAGE JOG.[W] HOUSE BLDG.NO.38",False
48,KW1513990970000,",2,HOME STAND,16TH DATTATRAYA RD,SANTACRUZ WESTMUMBAI 400052",Mixed Legend,MORYA GALANI ENTERPRISES ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5611 (B-25) S NO 41 PLOT NO 25 OSHIWARA  VILLAGE   MOURYA LAND MARK  .,False
49,KW1513999410000,"
4TH FLOOR, PRIUS INFINITY, SUBHASH ROAD, NEAR AXIS BANK, VILEPARLE (EAST), MUMBAI-400057",Mixed Legend,RELIANCE ENTERPRISES ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"CTS 2,7,8,, VILLAGE OSHIWARA, 16,17,18,19, ETC, NEW LINK ROAD  OSHIWARA, PLOT OF LAND RCC BUILDING ''A'' WING",False
50,KW1514010910000,",ADARSH NAGER NEW LINK RD,VILLAGE OSHIWARA JOG(W),MUMBAI 400102",Mixed Legend,SECY ANNAPURNA CHS LTD ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW 5566(2B/DA) CTS NO 14&26 VILLAGE OSHIWARA  NEW LINK RD JOGESHWARI(W), ANNAPURNA CO-OP HSG SOC. LTD. .",False
51,KW1514011480000,",NEAR SERINITY COMPLEX,NEXT TO CITY INTERNATIONAL,SCHOOL VILLAGE OSHIWARAANAND NAGAR JOGE",Mixed Legend,M/S OM SHREE JAI AMBE C H S ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW 5349(2A/2),CTS NO 155 PT158 PT 171&172 PT(ALL IN PARTS)  VILLAGE OSHIWARA JOG (W) PLOT OF LAND  .",False
52,KW1514089320000,",GOREGAON DIVISION,GRIH NIRMAN BHAVAN,BANDRA EASTMUMBAI 400051",Mixed Legend,B H AND A D BOARD ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5611(EWS/75) 41 OSHIWARA VILLAGE  A C CHAWL   .,False
53,KW1514127270000,"
LTD.3/4 S.V.RD,TURNER RD.,JUNCTION,BANDRA (W),,MUMBAI 400050.",Mixed Legend,HINDUSTAN PETROLEUM CORP. ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5611(H/A-25) PL.NO.A25 NEW LINK RD., OSHIWARA,PETROL PUMP WITH STORE & ATM.",False
54,KW1514361110000,"
(RETAIL),BHARAT PETROLEUM,CORPORATION LTD.BENZINE,INSTALLATION,SEWREE FORT RDSEWREE(E),MUMBAI-400015",Mixed Legend,THE MANAGERTERITORY ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5611(H/A-14) PL.NO.14,41 OSHIWARA VILLAGE PETROL PUMP WITH A.T.M.CENTRE.",False
55,KW1514362600000,",SOCIETY12/73 SANGAM CHSNEW LINK ROADNEAR ADARSH NAGARPETROL PUMP JOG WEST B'102",Mixed Legend,ORIENTA EDUCATION ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5611(EWS-13),PL.NO.A-13,NEW LINK RD.OSHIWARA HOUSE AS ORIENTAL PUBLIC SCHOOL.",False
56,KW1514400460000,",PLOT NO.A-23 MHADA COMPLEX  NEW LINK ROAD OSHIWARA   MUMBAI 400053",Mixed Legend,M/S. MHADA ,VILLAGE OSHIWARA,,,,,061,K/W,,,,PLOT NO.A-23 MHADA COMPLEX  NEW LINK ROAD OSHIWARA   VILLAGE OSHIWARA Mumbai 400053,False
57,KW1514124250000,"
CO OP HSG SOCY LTD,PLOT NO B 18,OSHIWARA LINK RDANDHERI WESTMUMBAI 400058",C,SECY NAVKAR PREMISES ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5611 (B 18) PLOT NO B 18  OSHIWARA LINK RD L U C,False
58,KW1514134990000,"
LTD OPP MASTAKAR PETROL PUM,P ADARSHA NAGAR OSHIWARA,JOGESHWARI (W) MUM 102",C,OSHIWARA SHOPPING CO OP SOC ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611(A-10-5G-13) S NO 41 PT VILLAGE OSHIWARA   A C SHED OSHIWARA LINK SHOPPING,False
59,KW1514139360000,"
BLDG NO 7 6TH FLOOR,OFF,LINK ROAD,MALAD (W),MUMBAI 400064",C,BHARTI AIRTEL LTDINTERFACE ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5611(H-67-73/DME) PLOT NO 67-73 S NO 41,PT OSHIWARA SITE:OSHIWARA TARAPORE CHSL,TARAPORE GARDEN PHASE II, SITE FORDIGITAL MINI EXCHANGE(DME)BHARTI AIRTEL,A/W KW -5611(H-67-73)",False
60,KW1514140700000,"
J. V. P. D. SCHEME, VILE PARLE ( WEST ), MUMBAI , 400056",C,DR. DEAN H.B.T. MED. COLLEGE & DR.R.N. COOPER HOSPITAL BRIHANMUMBAI MAHANAGARPALIKA ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW5611(2A/AB/1) PLOT NO 2A S.NO 41 (PT) CTS NO 1/122A&1/223A VILLAGE OSHIWARA LINK ROAD JOGESHWARI WEST MUNICIPAL MATERNITY HOME AND DISPENSARY ASSESSED WITH KW 5611(2A/AB),False
61,KW1514362430000,"
603 CHIRA BAZAR,GIRGAON RD,MUMBAI 400002",C,MAHESHWARI PRAGATI MANDAL ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5611 (R-14) (R-15) PL NO R 14 & R 15 OSHIWARA VILLAGE NEW LINK ROAD JOGESHWARI (W)  RCC BUILDING AS CEREMONY HALL,False
62,KW1514367150000,"
OSHIWARA ANDHERI [W] MUMBAI, 60,",C,NEW SWASTIK LAND DEVP CORP ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 [B-22/A] CTS NO 587 TO 591 OF VILLAGE OSHIWARA ANDHERI [W] PLOT OF LAND,False
63,KW1514403050000,"
- GTL INFRASTRUCTURE LTD MEASTRAL ",C,MS RELIANCE INFOCOM GTL INFRASTRUBTURE LTD ,VILLAGE OSHIWARA,,,,,061,K/W,,,,- - AL-Arafat Chs - Millat Nagar Oshiwara Village Nr.Yamuna Nagar Andheri(W) VILLAGE OSHIWARA Mumbai 400053,False
64,KW1514404530000,"
403 SKYLINE ICON NR. MITTAL INDUSTRIAL ESTATE ANDHERI-KURLA ROAD  ANDHERI (W)  MUMBAI 400059 MAHARASHTRA",C,MS ATC TELECOM TOWER ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"ATC Antena installed in , the premises of, Shalimar Morya Park , Building, New Link Road, Village Oshiwara, Andheri(w), Mumbai, 400053, VILLAGE OSHIWARA,",False
65,KW1604600090000,"
C/O AIBANI STONE,SUPPLYING CO,48 AMBOLI HILLMUMBAI 400102",C,A AHMED CHUNAWALLA ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5642(13) 15L, CTS NO 722,722/1 OSHIWARA VILLAGE.ANDHERI(W)  ARC PLAZA SERVICE IND. ESTATE",False
66,KW1604650190000,",VEERA DESAI RD.OSHIWARA,,ANDHERI (W),MUM-58.,",C,PRATHAMESH SCHOOLM.C.SHAH ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5642(15AB),CTS-723,VILLAGE OSHIWARA, ROYAL PALACE AS GUEST HOUSE / OFFICE",False
67,KW1510600060000,",BLDG NO 3, NOBLE CHAMBER,,PARSI BAZAR, MUMBAI 400 001,",R,PARSI V & T SOCIETY ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5326(1),CTS-71B,OSHIWARA,BEHRAM BAUG,HOUSE BLDG NO.3.",False
68,KW1510650240000,",NO.1(YAZAD) CO.OP.HSG.SOC.,LTD.,BEHRAM BAUG,PARSI,COLONY,OSHIWARA,JOGESHWARI(W),MUMBAI 400 102.",R,SECYBEHRAMSHAH SHROFF BLDG ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5238(1ABC) CTS NO 293/1 17/286 294 303 BANDIVLI HILL HOUSE BLDG NO 1,False
69,KW1510650410000,",PARSI COLONY,BLDG. NO.2,,BEHARAM BAUG, JOGESHWARI(W),MUMBAI 400 102.",R,ZORASTRIAN RADIM SOCIETY ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5328 (1ABC/1) CTS 293 P T 293 1 5 6 (PT) ETC BEHRAM BAUG JOGESHWARI WEST HOUSE BLDG 2,False
70,KW1510650590000,",PARSI COLONY, BLDG NO.8,,BEHARAM BAUG (CHAE-CHASTI),C.H.S., BEHARAM BAUG,JOGESHWARI (W),MUMBAI 400 102.",R,ZORASTRIAN SOCIETY ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5328[1AB/1] CTS 293 [PT] 293 1,5,6,PT.ETC BEHRAM BAUG JOG.[W] HOUSE BLDG.NO.8 CHAECHAST",False
71,KW1510650670000,",RADIH SOC.VASTA HOUSE,JANMABHOOMI MARG,MUMBAI 400001",R,TRUSTEES ZORASTRIAN ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5328[1AB/2] CTS 293 [1 TO 5]6 PT ASSESSED WITH 5328[1AB/1] BEHRAM BAUG OSHIVARA VILLAGE HOUSE  BLDG.NO.4 HORMUZD,False
72,KW1510650750000,",SOC.VASTA HOUSE,JANMABHOOMI MARG,MUMBAI 400001",R,TRUSTEE ZORASTRIAN RADIH ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5328[1AB/3] ASSESSED WITH 5328[1AB/1]CTS.NO.293[PT] 293[1-5]6/PT BEHARAM BAUG OSHIWARA VILLAGE HOUSE- BLDG.NO.5 FIROZ-GHAR,False
73,KW1510650830000,",SOC.VASTA HOUSE 4TH FLOOR,JANMABHOOMI MARG MUMBAI,4OOOO1",R,TRUSTEE ZORASTRIAN RADIN ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW 5328[1AB/4]ASSESSED WITH 5328[1AB/1] CTS.NO.293[PT]293[1TO5]6[PT]BEHARAM BAUG OSHIVARA VILLAGE HOUSE ,BLDG.NO.6DADGHAR",False
74,KW1510650910000,",BLDG .NO 7, (SHAH BEHRAM CHS LTD, BEHRAM BAUG , PARSI COLONY, , OSHIWARA JOGESHWARI( WEST) MUMBAI 400102",R,M/S BEHRAMSHAW  SHROFF ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW=5328[1AB/5]ASSESSED WITH 5328[1AB/1] CTS.NO.293[PT]293[1TO5]6[PT]BEHARAM BAUG OSHIWARA VILLAGE HOUSE BLDG.NO.7SHAH BAHRAM,False
75,KW1510651130000,",SOCIETY,VASTA HOUSE,,JANMABHOOMI MARG,FORT,,MUMBAI-400001",R,TRUSTEE ZORASTRIAN RADIH ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5328 [1AB/9-10] CTS 293PT 321 & 286 OSHIWARAVILLAGE HOUSE BLDG NO 9A & 9B,False
76,KW1510651300000,",VASTA HOUSE, JANMA BHOOMI MARG,,,FORT, MUMBAI 400 001.",R,THE TRUSTEES OF ZORASTRIAN RADIH SOCIETY ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5328 [1AB/15] CTS NO 321/2 BEHRAM BAUG JOG [W] PLOT OF LAND,False
77,KW1511680280000,"
LINK PALACE C.H.S.LTD.,BEHARAM BAUG,NEW LINK RD,OSHIWARA JOGESHWARI(W)MUMBAI 400102",R,INDIAN AIR LINES EMPLOYEES ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5338[1A](AF-103), CTS NO.270,BEHRAM BAUG/ OSHIVARA JOG.[W] ASSESSED WITH 5338[1] HOUSE A WING LINK PALACE FLAT 103",False
78,KW1511770860000,",NEW OSHIWARA,LINK ROAD,,OSHIWARA VILLAGE,,JOG(W) MUMBAI-400102",R,SEC PEARL C.H.S.LTD. ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW 5349[3]. LINK ROAD, BEHRAM BAUG, OSHIWARA VILLAGE, JOGESHWARI [W]. HOUSE PEARL.",False
79,KW1511773530000,",Anand Nagar CTS NO. 1(PART)OF VILLAGE OSHIWARA, ANDHERI(W)   Mumbai 400102",R,Valmiki SRA CHS LTD AND Anand Nagar SRA CHS LTD Developer MS Nimesh Global Syndicate ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"Anand Nagar CTS NO. 1(PART)OF VILLAGE OSHIWARA, ANDHERI(W)   Mumbai 400102",False
80,KW1511841470000,"
GREEN CHS LTD NEW LINK RD,VILLAGE OSHIWARA,JOGESHWARI (W) MUMBAI 400 102",R,THE SECRETARY EVERSHINE ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW 5359 (3A)/F-401 CTS NO 96 TO 100,113 TO 118,121 (PART) VILLAGE OSHIWARA  NEW LINK RD  HOUSE CAUSARINA `B' WING  FLAT- 401",False
81,KW1511841630000,"
CHS LTD  NEW  LINK  RD, VILLAGE OSHIWARA,JOGESHWARI (W)  MUMBAI  400 102",R,THE SECY EVERSHINE GREEN ,VILLAGE OSHIWARA,,,,,061,K/W,,,,,False
82,KW1511841800000,",TRUST NEAR EVERSHINE GREEN,CHS L NEW LINK RD OSHIWARA,JOGESHWARI [W] MUMBAI 400 102",R,M/S RAIGAD MILITARY SCHOOL ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW 5359 (8) CTS NO 99 TO 102,111 TO 113,124 TO 129,141 ,145,146,148 & 150 VILLAGE OSHIWARA  JOGESHWARI (W) HOUSE AS SCHOOL M/S RAIGAD MILITARY SCHOOL",False
83,KW1511841980000,"
TRUST NEAR EVERSHINE GREEN,CHS LTD LINK RD OSHIWARA,JOGESHWARI [W] MUMBAI 400 102",R,M/S RAIGAD MILITARY SCHOOL ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5359 [8A] CTS NO 99PT TO 102PT 111PT TO 113PT 124PT TO 129PT 141PT TO 150PTOSHIWARA VILLAGE JOG [W] RAIGAD MILITARY SCHOOL,False
84,KW1511842100000,",NEW LINK RD  NEAR V-TECHWEB ,OSHIWARA VILLAGE JOGESHWARI,(W) MUMBAI 400102",R,M/S VIJAY VISHAL CHS LTD  . ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5357[1B],, CTS NO 181, 182B ,186,OSHIWARA VILLAGE,, NEW LINK ROAD,JOGESHWARI WEST ASSESSED WITH KW 5357, HOUSE BUILDING NO 1B M/S VIJAY VISHAL CHS LTD.",False
